# (1280, 60)
0.028,0.035,0.017,-0.01,0.074,-0.0077,-0.039,0.093,0.13,-0.02,0.038,0.051,-0.045,-0.0062,0.07,0.0061,0.019,-0.029,0.065,0.0065,-0.042,-0.035,-0.036,-0.058,0.024,-0.055,0.047,0.15,0.046,-0.0085,-0.04,-0.015,0.012,0.011,-0.026,0.015,0.037,-0.053,-0.071,-0.031,0.1,-0.037,0.0029,-0.095,0.056,0.012,0.0082,0.04,-0.059,0.027,0.015,-0.12,-0.081,-0.092,0.053,0.023,-0.051,-0.015,0.025,-0.024
0.038,0.046,0.016,-0.007,0.083,0.014,-0.056,0.11,0.15,-0.007,0.068,0.038,-0.062,-0.029,0.033,0.028,0.008,0.0034,0.11,-0.011,-0.062,0.019,-0.0031,-0.015,0.028,-0.075,0.037,0.16,0.015,-0.017,-0.024,-0.027,-0.013,-0.0059,-0.063,0.0023,0.04,-0.046,-0.028,0.00075,0.092,-0.036,0.08,-0.035,0.13,-0.016,-0.0079,0.04,-0.086,-0.0065,0.013,-0.096,-0.057,-0.04,0.013,0.021,0.0072,-0.036,-0.026,-0.032
0.046,0.058,0.014,-0.0012,0.093,0.026,-0.06,0.13,0.13,5.6e-05,0.076,0.0078,-0.074,-0.041,-0.0011,0.052,0.0025,0.022,0.14,-0.044,-0.043,0.032,0.0083,0.0075,0.037,-0.08,-0.0029,0.1,-0.016,-0.015,-0.011,-0.047,-0.051,0.0041,-0.074,0.019,0.0002,0.0076,0.031,-0.0032,0.027,-0.026,0.083,0.027,0.098,-0.033,0.014,-0.016,-0.083,-0.01,-0.019,-0.038,-0.046,-0.0061,-0.053,-0.026,0.051,0.0099,-0.058,0.01
0.055,0.07,0.012,-0.0012,0.097,0.019,-0.056,0.099,0.061,-0.0069,0.053,-0.022,-0.064,-0.057,-0.033,0.069,0.019,0.025,0.13,-0.066,0.04,-0.017,0.021,0.043,0.048,-0.068,-0.045,0.0081,-0.014,0.025,-0.039,-0.038,-0.061,0.033,-0.042,0.033,-0.07,0.038,0.087,-0.079,-0.033,-0.016,0.035,0.056,-0.033,-0.022,0.052,-0.035,-0.038,0.016,-0.051,-0.012,-0.03,0.013,-0.082,0.0016,0.038,0.087,-0.033,0.043
0.063,0.078,0.012,-0.0059,0.087,0.002,-0.056,0.063,-0.0081,-0.0082,0.037,-0.033,-0.019,-0.055,-0.038,0.06,0.014,0.026,0.077,-0.053,0.1,-0.04,0.037,0.076,0.031,-0.046,-0.045,-0.037,-0.022,0.045,-0.053,-0.0058,-0.051,0.025,-0.01,0.043,-0.073,0.032,0.07,-0.074,-0.055,0.022,-0.015,0.056,-0.089,-0.0054,0.052,0.0045,0.016,0.016,-0.064,-0.016,0.0072,0.0033,-0.047,0.029,0.014,0.076,0.029,-0.0079
0.071,0.081,0.011,-0.01,0.071,-0.015,-0.048,0.041,-0.046,0.0014,0.035,-0.035,0.029,-0.034,-0.028,0.029,0.0017,0.0091,-0.0005,-0.033,0.11,-0.022,0.057,0.068,-0.0046,-0.018,-0.025,-0.035,-0.034,0.022,-0.039,0.014,-0.019,-0.0033,-0.00094,0.029,-0.0085,0.013,0.04,-0.0027,-0.023,0.047,-0.052,0.023,-0.086,-0.0044,0.024,0.013,0.019,0.016,-0.049,-0.013,0.012,-0.023,-0.015,0.0091,0.0027,0.018,0.038,-0.071
0.075,0.078,0.011,-0.016,0.059,-0.023,-0.035,0.031,-0.061,0.011,0.033,-0.043,0.06,-0.022,-0.021,0.0053,0.004,0.0014,-0.042,-0.026,0.086,-0.0045,0.058,0.037,-0.032,0.01,-0.028,-0.014,-0.019,0.003,-0.036,0.026,0.0063,-0.033,-0.016,0.013,0.039,0.0031,0.017,0.039,0.0033,0.04,-0.065,0.0046,-0.04,-0.017,-0.023,-0.0066,0.00035,0.0034,-0.014,0.0081,0.017,-0.03,-0.006,0.0068,-0.0002,-0.02,0.021,-0.059
0.077,0.072,0.0071,-0.021,0.048,-0.024,-0.025,0.024,-0.063,0.013,0.022,-0.047,0.075,-0.017,-0.021,-0.017,0.013,-0.0028,-0.06,-0.013,0.041,0.012,0.042,0.0031,-0.04,0.023,-0.038,0.02,0.0044,-0.0093,-0.022,0.026,0.0099,-0.06,-0.025,0.0042,0.051,0.022,0.014,0.051,0.0079,0.012,-0.055,0.0065,0.0012,-0.027,-0.053,-0.014,-0.016,-0.024,0.012,0.023,0.023,-0.033,-0.022,0.041,-0.0035,-0.013,-0.021,0.0054
0.075,0.068,0.00034,-0.024,0.037,-0.021,-0.017,0.021,-0.062,0.0089,0.0052,-0.049,0.072,-0.0087,-0.031,-0.037,0.018,-0.02,-0.057,0.0049,-0.0055,0.02,0.025,-0.017,-0.038,0.035,-0.033,0.026,0.015,-0.0045,-0.0014,0.014,0.012,-0.05,-0.013,0.0013,0.043,0.041,-0.0025,0.044,-0.0053,-0.017,-0.027,0.011,0.029,-0.016,-0.034,0.0018,-0.03,-0.034,0.0076,0.02,0.0068,-0.019,-0.0037,0.052,0.0069,0.01,-0.045,0.042
0.073,0.064,-0.0037,-0.025,0.026,-0.017,-0.0073,0.016,-0.061,0.0065,-0.0049,-0.047,0.064,-0.0026,-0.036,-0.049,0.011,-0.03,-0.045,0.022,-0.033,0.019,0.0097,-0.029,-0.036,0.035,-0.031,0.016,0.023,0.0042,0.0062,0.017,0.024,-0.026,-0.017,0.0089,0.021,0.06,-0.0011,0.034,-0.012,-0.026,-0.016,0.034,0.04,-0.0052,-0.0065,0.0071,-0.036,-0.026,-0.0032,0.0092,-0.0035,0.0069,0.015,0.04,0.013,0.019,-0.047,0.044
